年月,最高気温,最低気温,日平均気温,日最低気温の平均,日最高気温の平均,降水量の合計,日降水量の最大,日照時間
平成21年1月,15.4,-2,5.3,1.3,9.9,109.5,39,173.5
平成21年2月,19.1,-0.6,7.3,3.1,12.3,74,22,161.5
平成21年3月,23,1.7,9.5,4.9,15,115,36,196.4
平成21年4月,27.9,4.1,15.4,10.3,21.3,125.5,61,252.7
平成21年5月,31.6,10.9,19.9,15.5,25,188,72,195
平成21年6月,32.4,14.9,23.3,19.3,28.4,240,38,172.8
平成21年7月,35,20.4,26.4,23.5,30.4,254,102.5,95.3
平成21年8月,35.2,20.6,27.3,24.1,31.9,128,40.5,189.6
平成21年9月,34.6,16.5,24.1,20.3,29.1,51.5,27.5,182.5
平成21年10月,28.6,10.9,18.5,14.4,23.2,211.5,90,192.3
平成21年11月,25.5,4.2,12.9,9.1,17.6,200.5,101.5,158
平成21年12月,18.4,-0.7,7.6,4,12.1,58,34,180.7
平成22年1月,15.2,-2.2,4.6,1,9.1,11.5,4,165.6
平成22年2月,19.9,-1.2,7,3.1,11.5,137,50,138.3
平成22年3月,20.5,0.4,9.1,5.1,13.7,211,37,156.4
平成22年4月,23.6,3.8,13.3,8.7,18.1,183.5,64,161.7
平成22年5月,31.5,8.4,18.7,14,24,167,39.5,235.3
平成22年6月,34.3,15.8,23.9,20.2,28.6,259,64.5,163.4
平成22年7月,38,20.2,27.8,24.5,32.2,208.5,46,190.5
平成22年8月,37.3,23.3,29.4,26.1,34.1,63.5,33,200.1
平成22年9月,38,15.2,26.1,22.4,31,190.5,39.5,190.4
平成22年10月,28.4,8.5,19.4,16,23.4,179.5,73,127
平成22年11月,20.2,3.6,12.1,7.8,17.2,43,30,195.8
平成22年12月,20,-1.2,7.9,4.2,12.4,76,24.5,170.8
平成23年1月,10.7,-3.2,2.8,-0.7,7.4,9.5,8.5,189.8
平成23年2月,17.5,-1.2,6.6,2.2,11.8,114,53.5,167
平成23年3月,19.3,-1.1,7.5,2.8,13,43,17,229.5
平成23年4月,24.1,2.5,13.3,8,19.5,111.5,31,213.5
平成23年5月,31,10.8,19,14.8,23.8,330.5,94.5,169.8
平成23年6月,35.8,14.9,23.8,20.3,28,171,28,135.3
平成23年7月,35.6,20.5,27.5,24,32.2,262,83,168.4
平成23年8月,36.7,21,28.3,25.1,32.7,116,38,168.7
平成23年9月,33.2,13.5,25.1,21.6,29.5,388.5,169.5,186.7
平成23年10月,26.3,9.7,18.8,14.7,23.7,133,30.5,191.7
平成23年11月,25,2.8,13.9,10.1,18.2,82.5,59,155.3
平成23年12月,15.4,-1.7,6.7,3.2,11.1,24,8.5,175.8
平成24年1月,11.9,-1.7,4.2,0.9,8.5,35,15.5,162
平成24年2月,14.8,-5.2,4.1,0.4,8.5,109.5,27.5,150.9
平成24年3月,19.2,-1,8.3,4.2,13.2,147.5,30.5,175.1
平成24年4月,28.5,1.1,14.2,9.6,19.7,144,60.5,177.6
平成24年5月,28.2,8.5,19.2,14.5,24.6,55.5,29.5,219.5
